drug_generic,drug_class,common_brands_india,symptoms_indications,min_age_months,max_age_months,min_weight_kg,dose_mg_per_kg,fixed_dose_mg,dose_unit,dosing_interval_hours,max_single_dose_mg,max_daily_dose,max_daily_dose_units,notes_key_safety,sources
Oseltamivir,Antiviral (Neuraminidase Inhibitor),"Fluvir, Tamiflu, Natflu","Treatment and prophylaxis of Influenza A & B",1,1000,3,3,,mg/kg,12.0,75.0,150.0,mg,"Treatment: twice daily for 5 days. Prophylaxis: once daily for 7 days. Start within 48h of symptoms.","[18]"
Fluconazole,Azole Antifungal,"Zocon, Fluka","Fungal infections (Candidiasis)",6,216,5,3-6,,mg/kg,24.0,400.0,400.0,mg,"Monitor liver function in prolonged use.",IAP
Itraconazole,Azole Antifungal,"Candiforce, Itaspor, Canditz","Fungal infections (Aspergillosis, Blastomycosis, Histoplasmosis)",6,216,10,5,,mg/kg,12.0,200.0,10.0,mg/kg,"Oral solution preferred in children. Absorption affected by gastric pH. Risk of CHF.","[19]"
Voriconazole,Azole Antifungal,"Vfend, Voritek, Voraze","Serious fungal infections (Aspergillosis, Candidemia)",24,144,10,9,,mg/kg,12.0,350.0,18.0,mg/kg,"Monitor liver function, vision, and renal function. Many drug interactions.","[20]"
Griseofulvin (microsize),Antifungal,"Grisovin-FP, Gris-peg","Fungal infections of skin, hair, nails (Tinea)",36,216,14,20-25,,mg/kg/day,12.0,500.0,25.0,mg/kg,"Take with a fatty meal to increase absorption. Duration of therapy is weeks to months.","[21]"
Albendazole,Anthelmintic,"Zentel, Bandy","Worm infestations (Roundworm, Hookworm, Pinworm)",12,1000,10,,200-400,mg,0.0,400.0,400.0,mg,"Single dose, may be repeated after 2-3 weeks if needed.",WHO
Cetirizine,Antihistamine (2nd Gen),"Cetzine, Zyrtec","Allergic rhinitis; Urticaria (hives)",6,144,6,,2.5-10,mg,24.0,10.0,10.0,mg,"May cause drowsiness. Dose varies by age (2.5mg for 6-24mo, 5mg for 2-6yr, 10mg for >6yr).",IAP
Levocetirizine,Antihistamine (2nd Gen),"L-Hist, Levocet","Allergic rhinitis; Urticaria (hives)",6,144,6,,2.5-5,mg,24.0,5.0,5.0,mg,"Less sedating than Cetirizine. Dose varies by age (1.25mg for 6-24mo, 2.5mg for 2-6yr, 5mg for >6yr).","IAP, NCBI"
Fexofenadine,Antihistamine (2nd Gen),Allegra,"Chronic idiopathic urticaria",6,24,8,,15,mg,12.0,15.0,30.0,mg,"Take with water, not fruit juice.","[22]"
Fexofenadine,Antihistamine (2nd Gen),Allegra,"Chronic idiopathic urticaria; Allergic rhinitis",24,144,12,,30,mg,12.0,30.0,60.0,mg,"Take with water, not fruit juice.","[22]"
Desloratadine,Antihistamine (2nd Gen),"D-lor, Neolor","Allergic rhinitis; Chronic idiopathic urticaria",6,12,8,,1,mg,24.0,1.0,1.0,mg,"Dose varies by age.","[23]"
Desloratadine,Antihistamine (2nd Gen),"D-lor, Neolor","Allergic rhinitis; Chronic idiopathic urticaria",12,60,10,,1.25,mg,24.0,1.25,1.25,mg,"Dose varies by age.","[23]"
Desloratadine,Antihistamine (2nd Gen),"D-lor, Neolor","Allergic rhinitis; Chronic idiopathic urticaria",72,144,20,,2.5,mg,24.0,2.5,2.5,mg,"Dose varies by age.","[23]"
Loratadine,Antihistamine (2nd Gen),"Lorfast, Claritin","Allergic rhinitis; Urticaria (hives)",24,144,10,,5-10,mg,24.0,10.0,10.0,mg,"Non-sedating. 5mg for 2-5yrs, 10mg for >6yrs.",IAP
Salbutamol (Inhalation),Bronchodilator (SABA),"Asthalin, Ventolin","Asthma; Bronchospasm",6,216,10,,0.1-0.2,mg,6.0,0.2,0.8,mg,"May cause tremor and tachycardia. For acute relief.","GINA Guidelines"
Levosalbutamol (Nebulizer),Bronchodilator (SABA),"Duolin, Levolin","Asthma; Bronchospasm",6,48,8,,1.25-2.5,mg,6.0,2.5,10.0,mg,"Isomer of Salbutamol, may have fewer side effects.","[24]"
Formoterol (Inhalation),Bronchodilator (LABA),"Foracort, Foratec","Asthma (maintenance); COPD; Exercise-induced bronchospasm prophylaxis",72,1000,20,,0.012,mg,12.0,0.012,0.024,mg,"For maintenance, not for acute attacks. Use with an inhaled corticosteroid for asthma.","[25, 26]"
Montelukast,Leukotriene Receptor Antagonist,"Montair, Singulair","Asthma (maintenance); Allergic rhinitis",12,216,12,,4-10,mg,24.0,10.0,10.0,mg,"Headache is a common side effect. Dose is age-dependent (4mg for 1-5yr, 5mg for 6-14yr, 10mg for >14yr).","IAP, WHO"
Budesonide (Inhalation),Corticosteroid,"Budecort, Pulmicort","Asthma (maintenance)",12,96,8,,0.25-0.5,mg,12.0,0.5,1.0,mg,"Rinse mouth after use to prevent oral thrush. Dose varies based on prior therapy.","[27, 28]"
Budesonide (Nasal Spray),Corticosteroid,"Budenase AQ, Rhinocort","Allergic rhinitis",72,144,20,,0.064,mg,24.0,0.128,0.128,mg,"May cause reduction in growth velocity with long-term use.","[27, 29]"
Fluticasone (Inhalation),Corticosteroid,"Flohale, Flomist","Asthma (maintenance)",48,144,15,,0.05-0.1,mg,12.0,0.1,0.2,mg,"Rinse mouth after use. Monitor growth in children on long-term therapy.","[30]"
Prednisolone,Corticosteroid,"Wysolone, Omnacortil","Inflammation; Asthma exacerbation; Autoimmune disorders",2,216,5,1-2,,mg/kg/day,24.0,60.0,60.0,mg,"Long-term use requires tapering to avoid adrenal suppression.",IAP
Ambroxol,Mucolytic,"Mucolite, Ambrolite","Productive cough; Viscid mucus",7,12,6,,7.5,mg,8.0,7.5,22.5,mg,"Use with caution in gastric ulceration. Do not use with antitussives.","[31, 32]"
Guaifenesin,Expectorant,"Mucinex, Robitussin","Chest congestion; Productive cough",24,72,12,,50-100,mg,4.0,100.0,600.0,mg,"Reduces viscosity of sputum. Ensure adequate hydration.","[33]"
Dextromethorphan,Antitussive,"Benadryl DR, Phensedyl DX","Dry, non-productive cough",48,144,15,0.25-0.5,,mg/kg,6.0,15.0,2.0,mg/kg,"Safety and efficacy not established in children <4 years. Risk of serotonin syndrome with SSRIs.","[34]"
Bromhexine,Mucolytic,"Bisolvon, Mucolyte","Productive cough",12,60,10,,4,mg,12.0,4.0,8.0,mg,"Use with caution in asthmatic patients and those with gastric ulceration.","[35]"
Ranitidine,H2 Blocker,"Zinetac, Rantac","Acidity; GERD",24,1000,15,2-4,,mg/kg/day,12.0,150.0,300.0,mg,"**Withdrawn in many countries due to safety concerns (NDMA contamination). Use alternatives.**",WHO
Pantoprazole,Proton Pump Inhibitor,"Pantop, Pan-40","Acidity; GERD; Peptic ulcer disease",12,1000,10,1,,mg/kg,24.0,40.0,40.0,mg,"Long-term use linked to nutrient deficiencies and increased fracture risk.",ICMR
Esomeprazole,Proton Pump Inhibitor,"Nexpro, Sompraz","GERD; Erosive esophagitis",12,144,10,,10-20,mg,24.0,20.0,20.0,mg,"Long-term use may increase risk of C. difficile infection and pneumonia.","[36]"
Domperidone,Antiemetic/Prokinetic,"Domstal, Motilium","Nausea; Vomiting; Dyspepsia",12,216,10,0.25,,mg/kg,8.0,10.0,30.0,mg,"**Risk of cardiac arrhythmia (QT prolongation), use with extreme caution and at lowest effective dose.**",ICMR
Ondansetron,Antiemetic (5-HT3 Antagonist),"Zofer, Emeset","Nausea; Vomiting (esp. post-chemotherapy or post-operative)",6,216,8,0.15,,mg/kg,8.0,8.0,24.0,mg,"Risk of QT prolongation, especially with other QT-prolonging drugs.","IAP, NICE"
Granisetron,Antiemetic (5-HT3 Antagonist),"Granicip, Kytril","Chemotherapy-induced nausea and vomiting (CINV)",24,192,12,0.01,,mg/kg,0.0,1.0,0.01,mg/kg,"Administer IV 30 mins before chemotherapy. Safety for PONV in children not established.","[37]"
Dicyclomine,Antispasmodic,"Colimex, Spasmonil","Irritable bowel syndrome (IBS); Abdominal cramps",6,1000,8,3,,mg/kg/day,6.0,20.0,40.0,mg,"**Contraindicated in infants <6 months due to risk of serious adverse events (respiratory collapse, seizures).**","[38, 39, 40]"
Loperamide,Antidiarrheal,"Imodium, Roko","Acute diarrhea",24,1000,13,,2,mg,6.0,4.0,16.0,mg,"**Avoid in children <2 yrs and in dysentery (bloody stools, high fever).** Risk of toxic megacolon.",WHO
Racecadotril,Antidiarrheal (Antisecretory),"Redotil, Enuff","Acute diarrhea",3,216,5,1.5,,mg/kg,8.0,100.0,4.5,mg/kg,"Use as an adjunct to oral rehydration therapy.","[41]"
Lactulose,Osmotic Laxative,"Duphalac, Looz, Evict",Constipation,1,12,5,,2.5,ml,12.0,2.5,5.0,ml,"Ensure adequate fluid intake. Dose is titrated to effect.","[42]"
Lactulose,Osmotic Laxative,"Duphalac, Looz, Evict",Constipation,12,60,10,,2.5-10,ml,12.0,10.0,20.0,ml,"Ensure adequate fluid intake. Dose is titrated to effect.","[42]"
Polyethylene Glycol 3350,Osmotic Laxative,"Peglec, Movicol, Pegred",Constipation,6,1000,8,1000-1500,,mg/kg/day,24.0,17000.0,17000.0,mg,"Dissolve powder in liquid (water, juice). Titrate dose to produce 1-2 soft stools per day.","[43]"
Bisacodyl,Stimulant Laxative,Dulcolax,Constipation,48,120,18,,5,mg,24.0,5.0,5.0,mg,"Use on doctor's advice only for ages 4-9. For short-term relief only.","[44]"
ORS (Oral Rehydration Salts),Rehydration Therapy,"Electral, WHO ORS","Dehydration due to diarrhea or vomiting",0,1000,0,,As required,ml,0.0,,,,"No overdose risk; administer based on dehydration level and ongoing losses.",WHO
Cholecalciferol (Vitamin D3),Vitamin Supplement,"D-rise, Calcirol","Vitamin D deficiency; Rickets prophylaxis",0,1000,3,,400-2000,IU,24.0,2000.0,2000.0,IU,"Toxic in high doses. Dose varies by age and indication.",ICMR
Ferrous Sulfate,Iron Supplement,"Fefol, Dexorange","Iron deficiency anemia",6,1000,5,3,,mg/kg,24.0,60.0,6.0,mg/kg,"GI irritation is common. Dose based on elemental iron.",WHO
Zinc Sulfate,Mineral Supplement,"Zinconia, Zivast","Adjunct in diarrhea management",2,60,5,,10-20,mg,24.0,20.0,20.0,mg,"Key for diarrhea management, given for 10-14 days.",WHO
Vitamin B Complex,Vitamin Supplement,"Neurobion, Becosules","Vitamin B deficiency",72,1000,20,,1-2 tablets,,24.0,,,,,"Dosage as per specific formulation; contains B1, B2, B6, B12, Folic Acid etc.","[45]"
Calcium Carbonate,Mineral Supplement,"Shelcal, Calcirol","Calcium deficiency; Nutritional supplement",6,60,8,,800,mg,24.0,800.0,800.0,mg,"Dose is for elemental calcium. Take with food to enhance absorption.","[46, 47]"
Metformin,Antidiabetic (Biguanide),"Glycomet, Gluformin","Type 2 Diabetes Mellitus",120,1000,40,,500-1000,mg,12.0,1000.0,2500.0,mg,"Avoid in renal impairment (risk of lactic acidosis). Take with meals.","ICMR, ADA"
Gliclazide,Antidiabetic (Sulfonylurea),"Diamicron, Glizid","Type 2 Diabetes Mellitus",216,1000,50,,40-160,mg,24.0,160.0,320.0,mg,"Risk of hypoglycemia. Take with breakfast.","[48]"
Sitagliptin,Antidiabetic (DPP-4 Inhibitor),"Januvia, Istavel","Type 2 Diabetes Mellitus",216,1000,50,,100,mg,24.0,100.0,100.0,mg,"Lower dose (25-50mg) in renal impairment. Low risk of hypoglycemia.","[49]"
Pioglitazone,Antidiabetic (Thiazolidinedione),"Pioz, Piosys, Actos","Type 2 Diabetes Mellitus",216,1000,50,,15-30,mg,24.0,45.0,45.0,mg,"Risk of fluid retention, heart failure, and bone fractures.","[50, 51, 52]"
Vildagliptin,Antidiabetic (DPP-4 Inhibitor),"Galvus, Zomelis","Type 2 Diabetes Mellitus",216,1000,50,,50,mg,12.0,50.0,100.0,mg,"Low risk of hypoglycemia.","[53, 54]"
Dapagliflozin,Antidiabetic (SGLT2 Inhibitor),"Forxiga, Oxra","Type 2 Diabetes Mellitus; Heart Failure; Chronic Kidney Disease",120,1000,40,,5-10,mg,24.0,10.0,10.0,mg,"Risk of euglycemic DKA and UTIs. Ensure adequate hydration.","[55]"
Insulin Glargine,Long-Acting Insulin,"Lantus, Basaglar","Type 1 & 2 Diabetes Mellitus",72,1000,20,Varies,Varies,units,24.0,,,,,"Dose is highly individualized based on blood glucose monitoring. Subcutaneous injection.","[56]"
Insulin Lispro,Rapid-Acting Insulin,"Humalog, Admelog","Type 1 & 2 Diabetes Mellitus",36,1000,15,0.4-1,,units/kg/day,0.0,,,,,"Dose is individualized. Administer 15 mins before or immediately after meals. Subcutaneous injection.","[57]"
Liraglutide,GLP-1 Receptor Agonist,"Victoza, Saxenda","Type 2 Diabetes Mellitus; Obesity",120,1000,40,,0.6-1.8,mg,24.0,1.8,1.8,mg,"Subcutaneous injection. Start at 0.6mg and titrate up. Risk of pancreatitis.","[58]"
Atenolol,Antihypertensive (Beta-Blocker),"Aten, Tenormin","Hypertension; Angina",144,1000,40,,25-100,mg,24.0,100.0,100.0,mg,"Risk of bradycardia. Do not stop abruptly.","ICMR"
Losartan,Antihypertensive (ARB),"Losar, Angiotan","Hypertension; Diabetic nephropathy",144,1000,40,,25-100,mg,24.0,100.0,100.0,mg,"Risk of hyperkalemia. Contraindicated in pregnancy.","ICMR"
Amlodipine,Antihypertensive (CCB),"Amlong, Stamlo","Hypertension; Angina",72,1000,20,,2.5-5,mg,24.0,10.0,10.0,mg,"May cause peripheral edema.","[59, 60]"
Telmisartan,Antihypertensive (ARB),"Telma, Micardis","Hypertension; Cardiovascular risk reduction",216,1000,50,,40-80,mg,24.0,80.0,80.0,mg,"Contraindicated in pregnancy.","[61]"
Furosemide,Loop Diuretic,"Lasix, Frusin","Edema (due to heart, liver, or kidney disease); Hypertension",1,216,4,0.5-1,,mg/kg,12.0,20.0,6.0,mg/kg,"Monitor electrolytes (especially potassium). Risk of dehydration.","[62]"
Spironolactone,Potassium-Sparing Diuretic,"Aldactone, Spilactone","Edema; Heart failure; Hypertension; Hyperaldosteronism",1,216,4,1-3,,mg/kg/day,12.0,50.0,3.0,mg/kg,"Monitor for hyperkalemia.","[63]"
Ivabradine,If Channel Inhibitor,"Ivabrad, Coralan","Stable heart failure with reduced ejection fraction",216,1000,50,,2.5-7.5,mg,12.0,7.5,15.0,mg,"For patients in sinus rhythm with HR >70 bpm. Risk of bradycardia and visual disturbances.","[64]"
Clopidogrel,Antiplatelet,"Plavix, Deplatt","Prevention of heart attack and stroke",216,1000,50,,75,mg,24.0,75.0,75.0,mg,"Increased risk of bleeding. Efficacy can be reduced by CYP2C19 inhibitors (e.g., omeprazole).","[65]"
Atorvastatin,Statin,"Atorva, Lipitor","Hypercholesterolemia; Prevention of cardiovascular disease",120,1000,30,,10-20,mg,24.0,80.0,80.0,mg,"Monitor liver enzymes. Risk of myopathy.","[66]"
Rosuvastatin,Statin,"Crestor, Rosuvas","Hypercholesterolemia; Prevention of cardiovascular disease",120,1000,30,,5-10,mg,24.0,40.0,40.0,mg,"Monitor liver enzymes. Risk of myopathy.","[67, 68, 69]"
Levetiracetam,Anticonvulsant,"Keppra, Levera, Levipil","Partial-onset seizures; Myoclonic seizures; Tonic-clonic seizures",1,6,3,7,,mg/kg,12.0,,42.0,mg/kg,"Behavioral side effects (irritability, agitation) can occur. Dose requires titration.","[70]"
Levetiracetam,Anticonvulsant,"Keppra, Levera, Levipil","Partial-onset seizures; Myoclonic seizures; Tonic-clonic seizures",6,48,8,10,,mg/kg,12.0,,50.0,mg/kg,"Behavioral side effects (irritability, agitation) can occur. Dose requires titration.","[70]"
Levetiracetam,Anticonvulsant,"Keppra, Levera, Levipil","Partial-onset seizures; Myoclonic seizures; Tonic-clonic seizures",48,192,20,10,,mg/kg,12.0,1500.0,60.0,mg/kg,"Behavioral side effects (irritability, agitation) can occur. Dose requires titration.","[70]"
Valproic Acid,Anticonvulsant/Mood Stabilizer,"Depakene, Encorate","Epilepsy (Generalized, Focal, Absence seizures); Bipolar disorder",24,144,10,10-15,,mg/kg/day,12.0,600.0,60.0,mg/kg,"**Contraindicated in children <2 years (hepatotoxicity risk).** Monitor LFTs, CBC. Teratogenic.","[71]"
Gabapentin,Anticonvulsant/Analgesic,"Neurontin, Gabapin","Epilepsy (adjunctive); Neuropathic pain",72,144,20,25-35,,mg/kg/day,8.0,1200.0,50.0,mg/kg,"Start low and titrate dose up to prevent side effects like dizziness and somnolence.","[72]"
Sertraline,Antidepressant (SSRI),"Zoloft, Serta, Zosert","Major depressive disorder; Obsessive-compulsive disorder (OCD)",72,156,25,,25-50,mg,24.0,200.0,200.0,mg,"Start with 25mg, may increase to 50mg after 1 week. Increased risk of suicidal thoughts in children/adolescents.","[73]"
Escitalopram,Antidepressant (SSRI),"Lexapro, Cipralex","Major depressive disorder (MDD); Generalized anxiety disorder (GAD)",144,216,40,,10,mg,24.0,20.0,20.0,mg,"Increased risk of suicidal thoughts in children/adolescents. Start 10mg, can increase to 20mg after 3 weeks for MDD.","[74, 75]"
Amitriptyline,Antidepressant (TCA),"Elavil, Tryptomer","Neuropathic pain; Migraine prophylaxis",144,216,40,,10-25,mg,24.0,75.0,75.0,mg,"Sedating, take at bedtime. Significant anticholinergic side effects.","[76]"
Risperidone,Antipsychotic (Atypical),"Risperdal, Sizodon","Irritability in autism; Bipolar mania; Schizophrenia",60,204,20,,0.25-0.5,mg,24.0,3.0,6.0,mg,"Dose depends on weight and indication. Risk of extrapyramidal symptoms and metabolic side effects.","[77]"
Aripiprazole,Antipsychotic (Atypical),"Abilify, Arip","Schizophrenia; Bipolar mania; Irritability in autism",156,216,40,,2,mg,24.0,10.0,30.0,mg,"For schizophrenia, start 2mg, titrate to 10mg target dose. Lower risk of metabolic side effects.","[78, 79]"
Methylphenidate (IR),CNS Stimulant,"Ritalin, Inspiral","Attention-Deficit/Hyperactivity Disorder (ADHD)",72,1000,20,,5,mg,12.0,20.0,60.0,mg,"Start 5mg twice daily (breakfast, lunch). Monitor growth, heart rate, BP. High potential for abuse.","[80]"
Atomoxetine,SNRI,"Strattera, Axepta","Attention-Deficit/Hyperactivity Disorder (ADHD)",72,1000,25,0.5,,mg/kg,24.0,100.0,1.4,mg/kg,"Non-stimulant. Titrate dose up after 3 days. Monitor for suicidal thoughts.","[81, 82]"
Levothyroxine,Thyroid Hormone,"Eltroxin, Thyronorm",Hypothyroidism,0,3,3,0.01-0.015,,mg/kg,24.0,,,,,"Dose is highly individualized based on TSH levels. Take on an empty stomach.","[83]"
Somatropin,Growth Hormone,"Genotropin, Norditropin","Growth Hormone Deficiency (GHD)",36,216,15,0.16-0.24,,mg/kg/week,0.0,,,,,"Subcutaneous injection. Dose divided into 6-7 weekly injections. Monitor growth response.","[84]"
Hydroxychloroquine,DMARD,"Plaquenil, HCQS","Juvenile Idiopathic Arthritis (JIA); Malaria; Lupus",72,216,31,5-6.5,,mg/kg,24.0,400.0,400.0,mg,"Risk of retinal toxicity with long-term use; regular eye exams required.","[85]"
Methotrexate,DMARD/Antineoplastic,"Folitrax, Rheumatrex","Juvenile Idiopathic Arthritis (JIA); Psoriasis; Cancer",36,216,15,,10,mg/m²,,168.0,,,,,"Administer once weekly. Folic acid supplementation is required to reduce side effects.","[86]"
Etanercept,DMARD (TNF inhibitor),"Enbrel, Etacept","Juvenile Idiopathic Arthritis (JIA); Psoriasis",24,216,12,0.8,,mg/kg,168.0,50.0,50.0,mg,"Subcutaneous injection once weekly. Increased risk of serious infections.","[87, 88]"
Adalimumab,DMARD (TNF inhibitor),"Humira, Exemptia","Juvenile Idiopathic Arthritis (JIA)",24,216,10,,10-40,mg,336.0,40.0,40.0,mg,"Subcutaneous injection every other week. Dose is weight-based (10mg for 10-15kg, 20mg for 15-30kg, 40mg for >30kg).","[89, 90]"
Infliximab,DMARD (TNF inhibitor),"Remicade, Infimab","Juvenile Idiopathic Arthritis (JIA)",72,216,25,10-20,,mg/kg,0.0,,,,,"IV infusion. High-dose therapy (10-20 mg/kg) used for recalcitrant disease. Increased risk of infections.","[91]"
Clotrimazole (Topical),Antifungal,"Candid, Clocip, Abzorb","Fungal skin infections (Ringworm, Athlete's foot)",36,1000,15,,1% cream,,8.0,,,,,"Apply a thin layer to affected area 2-3 times daily for at least 2 weeks.","[92, 93]"
Adapalene (Topical),Retinoid,"Differin, Adaferin","Acne vulgaris",144,1000,40,,0.1-0.3% gel,,24.0,,,,,"Apply a thin film once daily in the evening. May cause skin irritation and photosensitivity.","[94, 95]"
Clindamycin Phosphate (Topical),Antibiotic,"Cleocin-T, Clindac-A","Acne vulgaris",144,1000,40,,1% gel/lotion,,12.0,,,,,"Apply a thin film to affected area twice daily.","[96, 97]"
Mometasone Furoate (Topical),Corticosteroid,"Elocon, Momate","Eczema; Dermatitis; Psoriasis",24,1000,12,,0.1% cream,,24.0,,,,,"Apply a thin layer once daily. Avoid long-term use, especially on the face or in skin folds.","[98]"
Hydrocortisone (Topical),Corticosteroid,"Cort-S, Locoid","Mild eczema; Dermatitis; Insect bites",3,1000,5,,1% cream,,12.0,,,,,"Low-potency steroid. Apply thinly 1-2 times daily. Avoid use on broken skin or for prolonged periods in children.","[99]"
Fusidic Acid (Topical),Antibiotic,"Fucidin, Fudic","Bacterial skin infections (Impetigo)",1,1000,4,,2% cream,,6.0,,,,,"Apply 3-4 times daily until infection clears.","[100]"
Tacrolimus (Topical),Calcineurin Inhibitor,"Tacroz, Pangraf","Atopic dermatitis (Eczema)",24,1000,12,,0.03-0.1% oint,,12.0,,,,,"Second-line therapy for patients unresponsive to other treatments. Avoid sun exposure.","[101, 102]"
Tamsulosin,Alpha-Blocker,"Veltam, Flomax","Benign Prostatic Hyperplasia (BPH)",216,1000,50,,0.4,mg,24.0,0.8,0.8,mg,"May cause dizziness or fainting (first-dose effect). Take 30 mins after the same meal each day.","[103, 104]"
Finasteride,5-alpha-Reductase Inhibitor,"Proscar, Propecia","Benign Prostatic Hyperplasia (BPH); Male pattern hair loss",216,1000,50,,1-5,mg,24.0,5.0,5.0,mg,"Pregnant women should not handle crushed tablets. 5mg for BPH, 1mg for hair loss.","[105]"
